id,title,latitude,longitude,gmaps
393,"""ITT Technical Institute-Rancho Cordova""",38.59172,-121.281506,t
394,"""Academy of Chinese Culture and Health Sciences""",37.806662,-122.272733,t
395,"""The Academy of Radio and TV Broadcasting""",33.728895,-117.987666,t
396,"""Alameda Beauty College""",37.764203,-122.243566,t
397,"""College of Alameda""",37.78239,-122.279261,t
398,"""Allan Hancock College""",34.942979,-120.421486,t
399,"""American Academy of Dramatic Arts-Los Angeles""",34.095315,-118.344097,t
400,"""American Baptist Seminary of the West""",37.865252,-122.256149,t
401,"""American Film Institute Conservatory""",34.10846,-118.309989,t
402,"""American Beauty College""",33.884391,-118.125036,t
403,"""American Career College-Los Angeles""",34.079236,-118.292282,t
404,"""American Conservatory Theater""",37.787326,-122.404945,t
405,"""American River College""",38.649734,-121.346012,t
406,"""Everest College-Hayward""",37.675438,-122.084826,t
407,"""Antelope Valley College""",34.676207,-118.186166,t
408,"""Art Center College of Design""",34.170844,-118.186901,t
409,"""Associated Technical College-Los Angeles""",34.055987,-118.27243,t
410,"""Associated Technical College-San Diego""",32.715658,-117.158203,t
411,"""Azusa Pacific University""",34.130865,-117.88795,t
412,"""Bakersfield College""",35.4108,-118.973491,t
413,"""Bridges Academy of Beauty""",34.898457,-117.023566,t
414,"""Barstow Community College""",34.871451,-117.02523,t
415,"""Bellus Academy-National City""",32.676762,-117.090235,t
416,"""Bethesda University of California""",33.842295,-117.941323,t
417,"""Biola University""",33.904823,-118.017342,t
418,"""Brooks Institute""",34.418552,-119.695991,t
419,"""Brownson Technical School""",33.819,-117.906409,t
420,"""Bryan University""",34.061406,-118.302882,t
421,"""Butte College""",39.649116,-121.644691,t
422,"""Phillips Graduate Institute""",34.242703,-118.56765,t
423,"""California Institute of Integral Studies""",37.774768,-122.416537,t
424,"""Cabrillo College""",36.9891,-121.927926,t
425,"""California Baptist University""",33.928569,-117.42587,t
426,"""California College of the Arts""",37.835747,-122.251446,t
427,"""University of California Hastings College of Law""",37.780718,-122.415395,t
428,"""California Lutheran University""",34.225551,-118.879467,t
429,"""California Polytechnic State University-San Luis Obispo""",35.29889,-120.65856,t
430,"""Alliant International University""",32.897056,-117.094398,t
431,"""California State University-Bakersfield""",35.350005,-119.104711,t
432,"""California State University-Stanislaus""",37.52577,-120.852511,t
433,"""California State University-Chancellors Office""",33.764338,-118.201255,t
434,"""California State University-San Bernardino""",34.182987,-117.322508,t
